english;catalan
Afghanistan;Afganistan
Albania;Albània
Algeria;Algèria
Andorra;Andorra
Antigua and Barbuda;Antigua i Barbuda
Argentina;Argentina
Australia;Austràlia
Austria;Àustria
Bahamas;Bahames
Bahrain;Bahrain
Bangladesh;Bangladesh
Barbados;Barbados
Belarus;Bielorússia
Belgium;Bèlgica
Belize;Belize
Benin;Benín
Bolivia;Bolívia
Bosnia and Herzegovina;Bòsnia i Hercegovina
Botswana;Botswana
Brazil;Brasil
Brunei;Brunei
Bulgaria;Bulgària
Burkina Faso;Burkina Faso
Burundi;Burundi
Cameroon;Camerun
Canada;Canadà
Cape Verde;Cap Verd
Chile;Xile
China;Xina
Colombia;Colòmbia
Costa Rica;Costa Rica
Croatia;Croàcia
Cuba;Cuba
Cyprus;Xipre
Czech Republic;República Txeca
Democratic Republic of the Congo;República Democràtica del Congo
Denmark;Dinamarca
Djibouti;Djibouti
Dominican Republic;República Dominicana
Ecuador;Equador
Egypt;Egipte
El Salvador;El Salvador
Equatorial Guinea;Guinea Equatorial
Eritrea;Eritrea
Estonia;Estònia
Ethiopia;Etiòpia
Faroe Islands;Illes Faroe
Finland;Finlàndia
France;França
Gabon;Gabon
Gambia;Gàmbia
Georgia;Geòrgia
Germany;Alemanya
Ghana;Ghana
Greece;Grècia
Guatemala;Guatemala
Guernsey;Guernsey
Guinea;Guinea
Guyana;Guyana
Honduras;Hondures
Hungary;Hongria
Iceland;Islàndia
India;Índia
Indonesia;Indonèsia
Iran;Iran
Ireland;Irlanda
Isle of Man;illa de l'home
Israel;Israel
Italy;Itàlia
Ivory Coast;Costa d'Ivori
Jamaica;Jamaica
Japan;Japó
Jersey;Jersey
Jordan;Jordània
Kazakhstan;Kazakhstan
Kenya;Kenya
Kiribati;Kiribati
Kosovo;Kosovo
Kuwait;Kuwait
Latvia;Letònia
Lebanon;Líban
Liberia;Libèria
Libya;Líbia
Liechtenstein;Liechtenstein
Lithuania;Lituània
Luxembourg;Luxemburg
Macedonia;Macedònia
Madagascar;Madagascar
Malawi;Malawi
Malaysia;Malàisia
Maldives;Maldives
Mali;Mali
Malta;Malta
Mauritania;Mauritània
Mauritius;Maurici
Mexico;Mèxic
Moldova;Moldàvia
Monaco;Mònaco
Morocco;Marroc
Mozambique;Moçambic
Nepal;Nepal
Netherlands;Països Baixos
New Zealand;Nova Zelanda
Nicaragua;Nicaragua
Niger;Níger
Nigeria;Nigèria
North Korea;Corea del Nord
Norway;Noruega
Not specified;Sense especificar
Oman;Oman
Pakistan;Pakistan
Panama;Panamà
Paraguay;Paraguai
Peru;Perú
Philippines;Filipines
Poland;Polònia
Portugal;Portugal
Qatar;Qatar
Romania;Romania
Russia;Rússia
San Marino;San Marino
Sao Tome and Principe;Sao Tomé i Príncep
Saudi Arabia;Aràbia Saudita
Senegal;Senegal
Serbia and Montenegro;Sèrbia i Montenegro
Seychelles;Seychelles
Sierra Leone;Sierra Leone
Singapore;Singapur
Slovakia;Eslovàquia
Slovenia;Eslovènia
Solomon Islands;Illes Salomó
South Africa;Sud-Àfrica
South Korea;Corea del Sud
Spain;Espanya
Sri Lanka;Sri Lanka
Sudan;Sudan
Suriname;Surinam
Swaziland;Swazilàndia
Sweden;Suècia
Switzerland;Suïssa
Syria;Síria
Taiwan;Taiwan
Tanzania;Tanzània
Thailand;Tailàndia
Togo;Anar
Trinidad and Tobago;Trinitat i Tobago
Tunisia;Tunísia
Turkey;Turquia
Uganda;Uganda
Ukraine;Ucraïna
United Arab Emirates;Emirats Àrabs Units
United Kingdom;Regne Unit
United States;Estats Units
Uruguay;Uruguai
Uzbekistan;Uzbekistan
Venezuela;Veneçuela
Vietnam;Vietnam
Yemen;Iemen
Zambia;Zàmbia
Zimbabwe;Zimbabwe
