english;catalan
Afghanistan;Afganistan
Albania;Albània
Algeria;Algèria
American Samoa;Samoa Americana
Andorra;Andorra
Angola;Angola
Anguilla;Anguilla
Antarctica;Antàrtida
Antigua and Barbuda;Antigua i Barbuda
Argentina;Argentina
Armenia;Armènia
Aruba;Aruba
Ascension Island;Illa de l'Ascensió
Australia;Austràlia
Austria;Àustria
Azerbaijan;Azerbaidjan
Azores;Açores
Bahamas;Bahames
Bahrain;Bahrain
Bangladesh;Bangladesh
Barbados;Barbados
Belarus;Bielorússia
Belgium;Bèlgica
Belize;Belize
Benin;Benín
Bermuda;Bermudes
Bhutan;Bhutan
Bolivia;Bolívia
Bonaire;Bonaire
Bosnia and Herzegovina;Bòsnia i Hercegovina
Botswana;Botswana
Brazil;Brasil
Brunei;Brunei
Bulgaria;Bulgària
Burkina Faso;Burkina Faso
Burundi;Burundi
Cambodia;Cambodja
Cameroon;Camerun
Canada;Canadà
Canary Islands;Illes Canàries
Cape Verde;Cap Verd
Cayman Islands;Illes Caiman
Central African Republic;República Centreafricana
Chad;Txad
Chagos Archipelago;Arxipèlag dels Chagos
Chile;Xile
China;Xina
Christmas Island;Illa de Nadal
Cocos Islands;Illes Cocos
Colombia;Colòmbia
Comoros;Comores
Cook Islands;Illes Cook
Costa Rica;Costa Rica
Croatia;Croàcia
Cuba;Cuba
Curacao;Curaçao
Cyprus;Xipre
Czech Republic;República Txeca
Democratic Republic of the Congo;República Democràtica del Congo
Denmark;Dinamarca
Djibouti;Djibouti
Dominica;Dominica
Dominican Republic;República Dominicana
Ecuador;Equador
Egypt;Egipte
El Salvador;El Salvador
Equatorial Guinea;Guinea Equatorial
Eritrea;Eritrea
Estonia;Estònia
Ethiopia;Etiòpia
Falkland Islands;Illes Malvines
Faroe Islands;Illes Faroe
Fiji;Fiji
Finland;Finlàndia
France;França
French Guiana;Guaiana Francesa
French Polynesia;Polinèsia Francesa
French Southern and Antarctic Lands;Terres australs i antàrtiques franceses
Gabon;Gabon
Gambia;Gàmbia
Georgia;Geòrgia
Germany;Alemanya
Ghana;Ghana
Greece;Grècia
Greenland;Groenlàndia
Grenada;Granada
Grenadines;Grenadines
Guadeloupe;Guadalupe
Guam;Guam
Guatemala;Guatemala
